,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
1984,NFL,Washington Redskins*,11,5,0,1st of 5,Lost Div,426,310,116,Gibbs,Jacoby,Theismann,Riggins,Monk,3,9,11,18,4,4,17,28,7.3,-0.9,6.4,5.0,1.3
1983,NFL,Washington Redskins*,14,2,0,1st of 5,Lost SB,541,332,209,Gibbs,Theismann,Theismann,Riggins,Brown,1,3,11,12,1,1,3,28,13.1,0.9,13.9,11.7,2.2
1982,NFL,Washington Redskins*,8,1,0,1st of 5,Won SB,190,128,62,Gibbs,Theismann,Theismann,Riggins,Brown,12,7,1,4,2,5,6,28,6.9,0.5,7.4,2.2,5.2
1981,NFL,Washington Redskins,8,8,0,4th of 5,,347,349,-2,Gibbs,Theismann,Theismann,Washington,Monk,10,9,16,10,16,16,12,28,-0.1,1.1,1.0,2.2,-1.2
1980,NFL,Washington Redskins,6,10,0,3rd of 5,,261,293,-32,Pardee,Parrish,Theismann,Jackson,Monk,25,23,8,7,4,17,11,28,-2.0,0.9,-1.1,-4.4,3.3
1979,NFL,Washington Redskins,10,6,0,3rd of 5,,348,295,53,Pardee,Parrish,Theismann,Riggins,Buggs,10,18,10,17,1,8,18,28,3.3,-0.8,2.5,0.9,1.5
1978,NFL,Washington Redskins,8,8,0,3rd of 5,,273,283,-10,Pardee,Houston,Theismann,Riggins,McDaniel,17,19,10,17,22,11,19,28,-0.6,0.2,-0.4,-1.1,0.7
1977,NFL,Washington Redskins,9,5,0,2nd of 5,,196,189,7,Allen,Houston,Kilmer,Thomas,Fugett,21,20,4,19,11,13,20,28,0.5,-1.0,-0.5,-3.1,2.6
1976,NFL,Washington Redskins*,10,4,0,2nd of 5,Lost Div,291,217,74,Allen,Thomas,Kilmer,Thomas,Grant,11,17,9,13,11,11,14,28,5.3,-2.3,3.0,1.2,1.8
1975,NFL,Washington Redskins,8,6,0,3rd of 5,,325,276,49,Allen,Hanburger,Kilmer,Thomas,Grant,10,8,11,15,18,12,12,26,3.5,-0.7,2.8,2.6,0.3
1974,NFL,Washington Redskins*,10,4,0,2nd of 5,Lost Div,320,196,124,Allen,Bass,Kilmer,Brown,Taylor,4,12,4,2,1,2,3,26,8.9,1.4,10.2,5.7,4.5
1973,NFL,Washington Redskins*,10,4,0,2nd of 5,Lost Div,325,198,127,Allen,Hanburger,Kilmer,Brown,Taylor,6,18,6,9,4,6,12,26,9.1,-1.7,7.4,1.2,6.2
1972,NFL,Washington Redskins*,11,3,0,1st of 5,Lost SB,336,218,118,Allen,Brown,Kilmer,Brown,Taylor,7,11,3,4,7,3,5,26,8.4,-2.1,6.3,2.7,3.7
1971,NFL,Washington Redskins*,9,4,1,2nd of 5,Lost Div,276,190,86,Allen,Bass,Kilmer,Brown,Jefferson,12,13,4,4,9,6,6,26,6.1,-1.0,5.1,-0.6,5.8
1970,NFL,Washington Redskins,6,8,0,4th of 5,,297,314,-17,Austin,Brown,Jurgensen,Brown,Taylor,11,9,21,24,9,17,17,26,-1.2,4.2,3.0,3.6,-0.6
1969,NFL,Washington Redskins,7,5,2,2nd of 4,,307,319,-12,Lombardi,Jurgensen,Jurgensen,Brown,Taylor,7,8,10,12,8,9,9,16,-0.9,-2.1,-3.0,-1.0,-2.0
1968,NFL,Washington Redskins,5,9,0,3rd of 4,,249,358,-109,Graham,Hanburger,Jurgensen,Allen,Taylor,11,13,14,14,10,13,15,16,-7.8,-0.5,-8.3,-3.1,-5.2
1967,NFL,Washington Redskins,5,6,3,3rd of 4,,347,353,-6,Graham,Jurgensen,Jurgensen,Whitfield,Taylor,5,2,11,15,5,8,11,16,-0.4,-1.7,-2.1,1.3,-3.4
1966,NFL,Washington Redskins,7,7,0,5th of 8,,351,355,-4,Graham,Taylor,Jurgensen,Whitfield,Taylor,3,6,13,13,4,7,10,15,-0.3,-1.8,-2.0,1.7,-3.8
1965,NFL,Washington Redskins,6,8,0,4th of 7,,257,301,-44,McPeak,Krause,Jurgensen,Taylor,Mitchell,12,11,6,2,7,11,10,14,-3.1,-5.8,-9.0,-7.4,-1.6
1964,NFL,Washington Redskins,6,8,0,3rd of 7,,307,305,2,McPeak,Taylor,Jurgensen,Taylor,Mitchell,7,11,7,4,1,7,8,14,0.1,-2.6,-2.5,-1.9,-0.6
1963,NFL,Washington Redskins,3,11,0,6th of 7,,279,398,-119,McPeak,Mitchell,Snead,James,Mitchell,11,7,14,12,14,11,9,14,-8.5,0.7,-7.8,-2.1,-5.8
1962,NFL,Washington Redskins,5,7,2,4th of 7,,305,376,-71,McPeak,Mitchell,Snead,Barnes,Mitchell,7,10,12,14,3,10,12,14,-5.1,-3.3,-8.4,-2.6,-5.8
1961,NFL,Washington Redskins,1,12,1,7th of 7,,174,392,-218,McPeak,Toneff,Snead,James,Dugan,14,14,13,12,6,14,13,14,-15.6,-0.1,-15.7,-9.2,-6.5
1960,NFL,Washington Redskins,1,9,2,6th of 6,,178,309,-131,Nixon,Toneff,Guglielmi,Bosseler,Anderson,12,13,12,10,9,12,13,13,-10.9,2.9,-8.0,-6.1,-1.9
1959,NFL,Washington Redskins,3,9,0,5th of 6,,185,350,-165,Nixon,,LeBaron,Bosseler,Anderson,12,9,12,12,9,12,12,12,-13.8,0.9,-12.9,-5.7,-7.2
